"","WT_1","KD_1","WT_2","KD_2","WT_3","KD_3"
"1",4.09531536987234,6.23809396874976,3.15491036408412,0,6.08649880115259,3.56877925931905
"10",3.27625229589787,3.11904698437488,1.57745518204206,2.71772698325832,0,3.56877925931905
"100",232.613913008749,1348.98782074213,380.166698872137,1716.24458992763,394.861609724774,1626.47114743466
"1000",1756.07123060126,1941.60674777336,1743.08797615648,1212.10623453321,1850.29563555039,1373.08782002301
"10000",737.156766577021,1158.72595469527,249.237918762646,24.4595428493248,1653.24523686307,946.618698534378
"100009676",83.5444335453957,72.5178423867159,91.4924005584396,89.6849904475244,80.6461091152718,51.7472992601263
"10001",1902.68352084269,1469.85089138666,1609.0042856829,1520.56824713303,1462.28133697691,1604.16627706391
"10002",3.27625229589787,3.11904698437488,6.30982072816825,1.35886349162916,2.28243705043222,0
"10003",12.285946109617,38.2083255585923,121.464049017239,43.4836317321331,114.882664871755,45.5019355563179
"100033414",1.63812614794893,0,6.30982072816825,0,6.08649880115259,0
"100033416",0,1.55952349218744,52.0560210073881,4.07659047488747,23.5851828544663,3.56877925931905
"100033431",0.819063073974467,1.55952349218744,7.88727591021031,1.35886349162916,4.56487410086444,0
"100033432",4.09531536987234,0,12.6196414563365,1.35886349162916,7.60812350144073,1.78438962965953
"100033433",1.63812614794893,0,4.73236554612619,1.35886349162916,6.84731115129666,0.892194814829763
"100033820",0,0,4.73236554612619,0,6.08649880115259,1.78438962965953
"100037417",32.7625229589787,18.7142819062493,4.73236554612619,0,44.8879286585003,28.5502340745524
"100049076",7.37156766577021,4.67857047656232,14.1970966383786,13.5886349162916,9.12974820172888,11.5985325927869
"100049716",17.2003245534638,6.23809396874976,48.9011106433039,9.51204444140411,24.3459952046103,7.1375585186381
"10005",796.129307903182,622.249873382788,668.840997185834,765.040145787216,567.566013207479,668.253916307492
"10006",2031.27642345668,2367.35666114053,2045.95937110855,2305.99134529468,2202.55175366709,2472.27183189327
"10007",6330.53849874866,5271.96916533964,2872.5458864986,8200.74117198197,2821.85300668437,7358.82283271588
"10008",4.9143784438468,0,9.46473109225237,6.79431745814579,3.04324940057629,3.56877925931905
"10009",635.592945404187,1259.31521994136,1140.50009661641,1069.42556791215,1288.81612114406,1291.8980918735
"100093630",914.89345362948,1003.55336722262,1096.33135151923,1092.52624726984,1212.73488612965,1174.12837631597
"100093631",41.7722167726978,47.5654665117169,362.814691869674,336.998145924031,64.6690497622462,32.1190133338715
"1001",46.6865952165446,87.3333155624966,0,146.757257095949,0,120.446300002018
"10010",585.630097891744,923.237907374964,1265.11905599773,876.466952100807,1175.45508097259,971.600153349612
"100101148",0,0,12.6196414563365,13.5886349162916,0,0
"100101267",2239.31844424619,1898.71985173821,2113.78994393636,1721.68004389414,1902.79168771033,1452.49315854285
"100101440",0,0,18.9294621845047,20.3829523744374,0,0
"100101467",259.642994449906,193.380913031242,591.545693265773,239.159974526732,585.064697260792,290.855509634503
"100101490",140.878848723608,140.35711429687,220.843725485889,123.656577738253,241.938327345815,103.494598520253
"10011",2367.09228378621,1600.85086473041,1187.82375207767,1974.42865333717,1199.04026382706,1831.6759548455
"100113379",0,0,3.15491036408412,4.07659047488747,0.760812350144073,3.56877925931905
"100113380",33.5815860329532,22.6130906367179,0,0,14.4554346527374,21.4126755559143
"100113381",5.73344151782127,10.9166644453121,14.1970966383786,9.51204444140411,12.1729976023052,8.02975333346787
"100113385",1.63812614794893,2.33928523828116,0,0,3.04324940057629,2.67658444448929
"100113386",16.3812614794893,20.2738053984367,53.6334761894301,27.1772698325832,57.8217386109496,13.3829222224464
"100113389",0.819063073974467,1.55952349218744,1.57745518204206,5.43545396651663,3.80406175072037,0
"100113392",3.27625229589787,0,4.73236554612619,2.71772698325832,0,5.35316888897858
"100113393",2.4571892219234,1.55952349218744,15.7745518204206,2.71772698325832,4.56487410086444,2.67658444448929
"100113407",86.0016227673191,261.99994668749,85.1825798302714,138.604076146174,151.401657678671,154.349702965549
"100124516",5.73344151782127,3.8988087304686,14.1970966383786,14.9474984079207,6.08649880115259,16.0595066669357
"100124533",0.819063073974467,0,4.73236554612619,12.2297714246624,4.56487410086444,2.67658444448929
"100124534",2.4571892219234,2.33928523828116,0,0,8.36893585158481,6.24536370380834
"100124692",0,10.9166644453121,0,0,17.4986840533137,16.9517014817655
"100124700",58.9725413261617,143.476161281244,3.15491036408412,131.809758688028,0,175.762378521463
"100125288",46.6865952165446,65.4999866718724,25.239282912673,51.636812681908,26.6284322550426,30.3346237042119
"100125556",58.1534782521872,14.035711429687,41.0138347330936,23.1006793576957,46.4095533587885,31.2268185190417
"100126328",1.63812614794893,0,1.57745518204206,2.71772698325832,3.04324940057629,2.67658444448929
"100126582",16.3812614794893,10.9166644453121,0,0,12.9338099524492,21.4126755559143
"100126784",502.904727420323,433.547530828108,339.152864139043,255.466336426282,327.149310561951,257.844301485802
"100126793",22.9337660712851,12.4761879374995,29.9716484587992,9.51204444140411,11.4121852521611,32.1190133338715
"100127888",4.9143784438468,5.45833222265604,0,2.71772698325832,0.760812350144073,2.67658444448929
"100127889",5.73344151782127,17.9345201601556,9.46473109225237,8.15318094977495,15.2162470028815,8.02975333346787
"100127891",9.82875688769361,21.8333288906241,0,0,22.8243705043222,30.3346237042119
"100127910",4.9143784438468,9.35714095312464,0,0,12.9338099524492,13.3829222224464
"100127974",5.73344151782127,13.2559496835932,0,0,19.0203087536018,13.3829222224464
"100127983",391.512149359795,382.083255585923,249.237918762646,441.630634779476,264.762697850137,404.164251117883
"100128003",119.583208800272,95.1309330234338,0,0,247.264013796824,70.4833903715513
"100128025",0,0,12.6196414563365,13.5886349162916,0,0
"100128028",3.27625229589787,3.11904698437488,0,0,2.28243705043222,0
"100128055",5.73344151782127,0,6.30982072816825,2.71772698325832,3.80406175072037,0
"100128064",4.09531536987234,3.11904698437488,0,0,13.6946223025933,2.67658444448929
"100128071",7.37156766577021,7.7976174609372,11.0421862742944,12.2297714246624,17.4986840533137,3.56877925931905
"100128076",4.9143784438468,10.9166644453121,34.7040140049254,14.9474984079207,49.4528027593648,24.9814548152334
"100128077",3.27625229589787,6.23809396874976,0,0,8.36893585158481,2.67658444448929
"100128108",0,0,67.8305728278087,4.07659047488747,0,0
"100128130",73.7156766577021,80.3154598476531,0,0,113.361040171467,47.2863251859774
"100128164",1.63812614794893,9.35714095312464,3.15491036408412,0,9.89056055187295,3.56877925931905
"100128191",76.1728658796255,139.577352550776,72.5629383739349,93.7615809224119,63.1474250619581,71.375585186381
"100128239",26.210018367183,23.3928523828116,42.5912899151357,21.7418158660665,57.0609262608055,42.8253511118286
"100128242",47.5056582905191,35.0892785742174,0,0,22.8243705043222,33.903402963531
"100128253",9.82875688769361,9.35714095312464,0,0,6.84731115129666,8.02975333346787
"100128262",1.63812614794893,4.67857047656232,0,0,3.04324940057629,3.56877925931905
"100128285",24.571892219234,17.1547584140618,12.6196414563365,8.15318094977495,66.9514868126785,19.6282859262548
"100128288",9.00969381371914,11.6964261914058,83.6051246482293,13.5886349162916,64.6690497622462,14.2751170372762
"100128292",46.6865952165446,21.0535671445304,0,0,19.7811211037459,24.9814548152334
"100128300",18.0193876274383,3.11904698437488,0,0,13.6946223025933,3.56877925931905
"100128317",0,0,56.7883865535142,67.9431745814579,0,0
"100128343",6.55250459179574,4.67857047656232,0,0,2.28243705043222,5.35316888897858
"100128346",4.9143784438468,3.8988087304686,0,0,4.56487410086444,6.24536370380834
"100128361",44.2294059946212,104.488073976558,82.0276694661872,70.6609015647162,65.4298621123903,66.9146111122322
"100128385",51.6009736603914,57.7023692109353,105.689497196818,63.8665841065704,67.7122991628225,30.3346237042119
"100128460",0,0,0,0,24.3459952046103,10.7063377779572
"100128494",0,0,17.3520070024627,8.15318094977495,0,0
"100128505",6.55250459179574,15.5952349218744,20.5069173665468,9.51204444140411,25.1068075547544,19.6282859262548
"100128531",0,0,17.3520070024627,4.07659047488747,0,0
"100128568",0,0,26.8167380947151,38.0481777656164,0,0
"100128569",644.602639217906,585.601071316383,517.405299709796,849.289682268224,391.057547974054,636.134902973621
"100128640",22.9337660712851,10.9166644453121,22.0843725485889,14.9474984079207,10.651372902017,24.0892600004036
"100128644",3.27625229589787,1.55952349218744,0,0,6.84731115129666,3.56877925931905
"100128653",31.1243968110298,11.6964261914058,23.6618277306309,12.2297714246624,19.7811211037459,16.0595066669357
"100128731",2323.68194086556,2166.17813064835,2350.40822124267,3310.19146560863,1889.85787775788,2514.20498819027
"100128737",151.526668685276,99.8095034999961,0,0,49.4528027593648,111.52435185372
"100128750",41.7722167726978,58.482130957029,29.9716484587992,20.3829523744374,38.8014298573477,32.1190133338715
"100128782",156.441047129123,73.2976041328096,129.351324927449,135.886349162916,129.338099524492,162.379456299017
"100128788",5.73344151782127,3.8988087304686,1.57745518204206,5.43545396651663,0.760812350144073,1.78438962965953
"100128811",9.82875688769361,3.11904698437488,1.57745518204206,0,12.9338099524492,0
"100128822",125.316650318094,51.4642752421855,77.295303920061,203.829523744374,86.7326079164244,231.970651855738
"100128881",65.5250459179574,10.1369026992184,91.4924005584396,16.3063618995499,66.1906744625344,25.8736496300631
"100128890",65.5250459179574,53.0237987343729,97.8022212866078,63.8665841065704,90.5366696671447,76.7287540753596
"100128893",4.09531536987234,14.035711429687,12.6196414563365,12.2297714246624,15.2162470028815,11.5985325927869
