"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3910",1368.59894374586,2.50360078836781,0.252650050024652,9.90936193412,3.79059197351967e-23,5.39969826627877e-19
"4057",254.007914144721,6.23535619832437,0.636522422071086,9.79597258810784,1.17164350527219e-22,8.34503086630119e-19
"2202",728.897946409573,4.77948033969117,0.532864108390236,8.96941690092399,2.98088260297937e-19,1.41542242264804e-15
"30845",588.140207762408,-2.574803690043,0.316383227121215,-8.13824333695326,4.01054170242614e-16,1.24128944199383e-12
"100",949.890963285013,2.24992935835821,0.276805184971682,8.12820525232714,4.35693029832863e-16,1.24128944199383e-12
"91851",463.82883150709,3.67783046721592,0.484267002983303,7.59463363094909,3.08664475180024e-14,7.32820908156574e-11
"6563",210.713595959313,4.99028092337467,0.660513409668904,7.55515459690084,4.18362630811591e-14,8.51367953701587e-11
"400643",298.447097712518,-3.05732963705081,0.407316648641974,-7.50602669260927,6.09489951485422e-14,1.08527304486373e-10
"84450",549.170666509206,-2.1297988655237,0.286249253046646,-7.4403647969577,1.00407635617093e-13,1.58922974373944e-10
"5493",558.674213202619,2.25003703980168,0.312781127749586,7.19364705917637,6.30831377764172e-13,8.98619297625063e-10
"4232",954.845069374794,2.60471597927282,0.365910098313743,7.11845885444641,1.0914050644152e-12,1.41336955841768e-09
"148823",124.556800048323,5.17487348936641,0.731011256991834,7.07906128649974,1.45134194381496e-12,1.72286383247034e-09
"7087",267.631049097102,-2.37895051275289,0.342543846309261,-6.94495183137835,3.78589478656952e-12,4.14846701805253e-09
"11262",1081.6419775952,-1.723109864085,0.248984543941543,-6.92054951205951,4.49895038690809e-12,4.57768201867898e-09
"65108",353.029637539042,-3.57846124236077,0.526838140601329,-6.79233519098738,1.10332827981114e-11,1.04779408972731e-08
"84034",790.475727557773,-4.37773970126583,0.648703108229287,-6.74844878301168,1.49434130120273e-11,1.33043073972705e-08
"50486",948.261103223368,3.33144474384211,0.498163835646528,6.68744799493219,2.27095872126426e-11,1.90292982261231e-08
"3290",100.404259062232,4.38561020752286,0.656654447432042,6.67871850205771,2.41040643655681e-11,1.90756887159732e-08
"4693",856.633714114358,1.8359602684574,0.275938423754775,6.65351437278994,2.86175854086229e-11,2.14556581129386e-08
"132671",96.9934599804855,-9.18473210432327,1.39836693905384,-6.56818453569693,5.09323984526477e-11,3.62766007978984e-08
"5919",119.874443698974,4.37884182386031,0.673832169122032,6.49841611089258,8.1170035761055e-11,5.50603409245823e-08
"3929",98.7401866763691,6.80160379093834,1.05162741702924,6.46769348230985,9.95100868187815e-11,6.16313559449366e-08
"3082",376.458391931877,2.55354901103899,0.394735290305266,6.46901625913462,9.86429831373396e-11,6.16313559449366e-08
"6289",466.947699133867,5.96369913157598,0.942590626022291,6.32692387016689,2.50096664127974e-10,1.48442790854291e-07
"1009",806.425307212446,5.04943653212511,0.814553650031589,6.19902265729125,5.68148534789824e-10,3.23731035123242e-07
"170959",179.258788205037,4.42175341275423,0.718061526678486,6.15790325546029,7.37143612213054e-10,4.03869644460575e-07
"10659",1015.75334818568,5.0143733915213,0.816544499068619,6.14096769648302,8.20202642365263e-10,4.32732838536784e-07
"60598",46.4660097074739,5.27703468385369,0.87288084917857,6.04553839028509,1.48911885690238e-09,7.24849665290544e-07
"114794",196.73932352178,-4.13300498973235,0.684098326675115,-6.04153647008576,1.52653492163681e-09,7.24849665290544e-07
"1244",1214.8146385444,-1.56617749785722,0.258801333706847,-6.05165929952774,1.43361421272426e-09,7.24849665290544e-07
"8653",469.386074232686,3.79941530875064,0.632590368026713,6.00612260443112,1.9001252800051e-09,8.7313821334428e-07
"3676",113.171113798427,-3.76321833710287,0.629087020807246,-5.98203144021934,2.2037172089712e-09,9.80998488806087e-07
"654433",2889.81934222552,-1.64383163177952,0.275708481458233,-5.96220915325212,2.48850333015894e-09,1.07420393751861e-06
"57586",804.378938904597,3.82632218259837,0.643779286810621,5.94353105325047,2.78946878460278e-09,1.13531379533333e-06
"5754",451.547677368883,-2.95821367469851,0.497379562129499,-5.94759797132215,2.72105906227679e-09,1.13531379533333e-06
"8325",672.777213171491,2.37609427869293,0.402308085044548,5.90615592135022,3.50182559557257e-09,1.38565293358142e-06
"317762",246.18352633048,-2.06335698561585,0.355517896176982,-5.80380624380351,6.48261843357692e-09,2.49580809692711e-06
"7068",93.970375782663,-5.2415073172639,0.904818769660589,-5.79288084312184,6.91891979915426e-09,2.59368454049875e-06
"8862",1336.65818875962,1.48015060163206,0.25656051507366,5.76920654063663,7.96456412793711e-09,2.90910810262728e-06
"3782",308.893380755254,-3.13572414872536,0.546606207066329,-5.73671522238102,9.65303621680795e-09,3.34085572941751e-06
"81606",331.591012989556,-2.53532170352128,0.442210733749821,-5.73328847543449,9.85018888280346e-09,3.34085572941751e-06
"51334",388.586633505518,1.90430601817078,0.331730866482415,5.7405150095423,9.43890542078081e-09,3.34085572941751e-06
"339400",50.9346198739896,-6.17667120557846,1.08132074409954,-5.71215454737443,1.11554706753024e-08,3.5975669178046e-06
"55552",218.194937102808,2.16083911872522,0.378103683703522,5.71493802324227,1.09744014204513e-08,3.5975669178046e-06
"56937",610.163888103695,-2.02709017380069,0.355069718886995,-5.7089919696752,1.136472525807e-08,3.5975669178046e-06
"8839",150.434900265359,3.36854049734786,0.590757556670845,5.70206924873028,1.18361722238158e-08,3.66535376800557e-06
"715",4402.08403093679,1.51105554883847,0.266500464301072,5.66999218106951,1.42804036650167e-08,4.32817766400346e-06
"3983",474.392905888939,3.76354027032189,0.665048675360903,5.65904483349211,1.52217790183403e-08,4.51738004408871e-06
"7111",241.858778858453,2.60570584044917,0.465411401677767,5.59871509605445,2.1594634928428e-08,6.27786886847872e-06
"10038",2979.68602787424,2.14826321426291,0.386597401091017,5.55684856701129,2.74688873427353e-08,7.82588600394528e-06
"7697",102.908892652947,3.54501739843522,0.639878036787467,5.54014545683288,3.02220514195261e-08,8.44143377394411e-06
"2770",566.951601133501,-1.68051350529372,0.30374787583351,-5.53259344014256,3.15530253738268e-08,8.64370858558005e-06
"716",2570.38508183339,1.26772199630847,0.229639026702862,5.5204989087017,3.38038493299102e-08,9.08558176801078e-06
"93099",1233.43068287233,1.64902679730674,0.300257807855544,5.49203635730297,3.97325568983906e-08,1.04813013521773e-05
"57134",273.811513196848,3.21022616083808,0.59023636452957,5.4388823762099,5.36158359867035e-08,1.38865015205562e-05
"5627",2815.50864497542,1.56336308117856,0.288153822644348,5.42544626627471,5.78099196601033e-08,1.47053983135388e-05
"1803",3564.24533843569,1.23210461821192,0.227391445223186,5.41842995457724,6.01246858792015e-08,1.50258973745478e-05
"83716",90.8442930275594,-2.76019942617421,0.510917027201431,-5.40244164750843,6.57398464672204e-08,1.61459329814751e-05
"7025",838.492753548786,1.45376611074481,0.269876678967438,5.38677931085781,7.17314207695297e-08,1.7318882862067e-05
"23037",74.4465947848136,3.77423781875281,0.704414869460316,5.35797579293637,8.41595127189837e-08,1.9980870978032e-05
"27177",1118.9350048879,-4.41770495765251,0.826140801185393,-5.34739956108419,8.92268961555503e-08,2.08366743563248e-05
"54510",154.427085058366,-3.86894867352955,0.72486092520905,-5.33750480813095,9.42344047073571e-08,2.1651114436392e-05
